Instance name,Type,Solver,Time limit,Threads,Attempt,Makespan
abz5,Blocking,CPOPT,10,1,0,1578.000000
abz5,Blocking,ORTOOLS,10,1,0,1583.000000
abz5,Blocking,CPOPT,10,1,0,1234.000000
abz5,Blocking,ORTOOLS,10,1,0,1234.000000
abz5,Blocking,CPOPT,10,1,1,1558.000000
abz5,Blocking,ORTOOLS,10,1,1,1583.000000
abz5,Blocking,CPOPT,10,1,1,1234.000000
abz5,Blocking,ORTOOLS,10,1,1,1234.000000
abz5,Blocking,CPOPT,10,1,2,1534.000000
abz5,Blocking,ORTOOLS,10,1,2,1584.000000
abz5,Blocking,CPOPT,10,1,2,1234.000000
abz5,Blocking,ORTOOLS,10,1,2,1234.000000
abz5,Blocking,CPOPT,10,1,3,1534.000000
abz5,Blocking,ORTOOLS,10,1,3,1584.000000
abz5,Blocking,CPOPT,10,1,3,1234.000000
abz5,Blocking,ORTOOLS,10,1,3,1234.000000
abz5,Blocking,CPOPT,10,1,4,1534.000000
abz5,Blocking,ORTOOLS,10,1,4,1584.000000
abz5,Blocking,CPOPT,10,1,4,1234.000000
abz5,Blocking,ORTOOLS,10,1,4,1234.000000
abz5,Blocking,CPOPT,10,2,0,1559.000000
abz5,Blocking,ORTOOLS,10,2,0,1584.000000
abz5,Blocking,CPOPT,10,2,0,1234.000000
abz5,Blocking,ORTOOLS,10,2,0,1234.000000
abz5,Blocking,CPOPT,10,2,1,1561.000000
abz5,Blocking,ORTOOLS,10,2,1,1584.000000
abz5,Blocking,CPOPT,10,2,1,1234.000000
abz5,Blocking,ORTOOLS,10,2,1,1234.000000
abz5,Blocking,CPOPT,10,2,2,1582.000000
abz5,Blocking,ORTOOLS,10,2,2,1584.000000
abz5,Blocking,CPOPT,10,2,2,1234.000000
abz5,Blocking,ORTOOLS,10,2,2,1234.000000
abz5,Blocking,CPOPT,10,2,3,1605.000000
abz5,Blocking,ORTOOLS,10,2,3,1584.000000
abz5,Blocking,CPOPT,10,2,3,1234.000000
abz5,Blocking,ORTOOLS,10,2,3,1234.000000
abz5,Blocking,CPOPT,10,2,4,1590.000000
abz5,Blocking,ORTOOLS,10,2,4,1584.000000
abz5,Blocking,CPOPT,10,2,4,1234.000000
abz5,Blocking,ORTOOLS,10,2,4,1281.000000
